2026-03-15 17:34:04.133 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 45: 100 events (total: 4500)
2026-03-15 17:34:04.136 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 46...
2026-03-15 17:34:04.231 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 46: 16 events (total: 4516)
2026-03-15 17:34:04.232 | INFO     | src.brokers.kalshi.client:_fetch_all_events:267 | Fetched 4516 total events from 46 pages
2026-03-15 17:34:04.438 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXXRPD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXXRP-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXXLMD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXXLM-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXSOLE-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXSOLD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXLTCD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXLTC-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXLINKD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXLINK-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXETHD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXETH-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXDOTD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXDOT-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXDOGED-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXDOGE-26MAR1521 strikes in 25.9m, skipping
